
sub_004, 5394, Parallel parking                  
sub_004, 5404, Parallel parking                  
sub_004, 5407, Parallel parking                  
sub_004, 5408, Pulling forward into perpenedicular                  
sub_004, 5413, Pulling forward into angled                  
sub_004, 5415, Pulling forward into perpenedicular                  
sub_004, 5419, Pulling forward into perpenedicular                  
sub_004, 5434, Pulling forward into perpenedicular                  
sub_004, 5438, Pulling forward into perpenedicular                  
sub_004, 5443, Pulling forward into perpenedicular                  
sub_004, 5448, Pulling forward into perpenedicular                  
sub_004, 5452, Pulling forward into perpenedicular                  
sub_004, 5456, Parallel parking                  
sub_004, 5471, Pulling forward into angled                  
sub_004, 5483, Pulling forward into perpenedicular                  
sub_004, 5486, Pulling forward into angled                  
sub_004, 5491                  
sub_004, 5702, Pulling forward into perpenedicular                  
sub_004, 5721, Pulling forward into perpenedicular                  
sub_004, 5733, Pulling forward into angled                  
sub_004, 5744, Pulling forward into perpenedicular                  
sub_004, 5763, Pulling forward into perpenedicular                  
sub_004, 5766, Parallel parking                  
sub_004, 5771, Pulling forward into perpenedicular                  
sub_004, 5773, Parallel parking                  
sub_004, 5780, Pulling forward into perpenedicular                  
sub_004, 5782, Pulling forward into perpenedicular                  
sub_004, 5785, Pulling forward into perpenedicular                  
sub_004, 5802, Pulling forward into perpenedicular                  
sub_004, 5805, Pulling forward into perpenedicular                  
sub_004, 5816, Pulling forward into perpenedicular                  
sub_004, 5818, Pulling forward into perpenedicular                  
sub_004, 5822, Pulling forward into perpenedicular                  
sub_004, 5828, Pulling forward into angled                  
sub_004, 5847, Pulling forward into perpenedicular                  
sub_004, 5860, Pulling forward into perpenedicular                  
sub_004, 5864, Pulling forward into perpenedicular                  
sub_004, 5871, Backing into perpendicular                  
sub_004, 5875, Pulling forward into perpenedicular                  
sub_004, 5914, Pulling forward into perpenedicular                  
sub_004, 5925, Pulling forward into perpenedicular                  
sub_004, 5927, Pulling forward into perpenedicular                  
sub_004, 5929, Pulling forward into perpenedicular                  
sub_004, 5931, nan                  
sub_004, 5935, Pulling forward into perpenedicular                  
sub_004, 5936, Pulling forward into perpenedicular                  
sub_004, 5937, Parallel parking                  
sub_004, 5940, Pulling forward into perpenedicular                  
sub_004, 5942, Pulling forward into perpenedicular                  
sub_004, 5953, Pulling forward into perpenedicular                  
sub_004, 5957, Pulling forward into perpenedicular                  
sub_004, 5958, Pulling forward into perpenedicular                  
sub_004, 5973, Pulling forward into perpenedicular                  
sub_004, 5975, Parallel parking                  
sub_004, 5977, Pulling forward into angled                  
sub_004, 5984, Pulling forward into perpenedicular                  
sub_004, 5986, Pulling forward into perpenedicular                  
sub_004, 6034, Parallel parking                  
sub_004, 6036, Pulling forward into perpenedicular                  
sub_004, 6037, Parallel parking                  
sub_004, 6038, Pulling forward into perpenedicular                  
sub_004, 6041, Parallel parking                  
sub_004, 6043, Pulling forward into perpenedicular                  
sub_004, 6049, Pulling forward into perpenedicular                  
sub_004, 6051, Backing into perpendicular, Pulling forward into perpenedicular                  
sub_004, 6053, Pulling forward into angled                  
sub_004, 6055, Pulling forward into perpenedicular                  
sub_004, 6056, Pulling forward into perpenedicular                  
sub_004, 6059, Parallel parking                  
sub_004, 6060, Pulling forward into perpenedicular                  
sub_004, 6062, Pulling forward into perpenedicular                  
sub_004, 6070, Pulling forward into perpenedicular                  
sub_004, 6071, Parallel parking                  
sub_004, 6074, Backing into perpendicular                  
sub_004, 6075                  
sub_004, 6077, Pulling forward into angled                  
sub_004, 6078, Pulling forward into perpenedicular                  
sub_004, 6080, Backing into perpendicular                  
sub_004, 6081, Pulling forward into perpenedicular                  
sub_004, 6084, Parallel parking                  
sub_004, 6086, Parallel parking                  
sub_004, 6087, Backing into perpendicular                  
sub_004, 6089                  
sub_004, 6090, Pulling forward into angled                  
sub_004, 6091, Pulling forward into perpenedicular                  
sub_004, 6095, Pulling forward into perpenedicular                  
sub_004, 6096, Pulling forward into perpenedicular                  
sub_004, 6098, Backing into perpendicular, Pulling forward into perpenedicular                  
sub_004, 6101, Pulling forward into perpenedicular                  
sub_004, 6102, Pulling forward into perpenedicular                  
sub_004, 6108, Pulling forward into perpenedicular                  
sub_004, 6109                  
sub_004, 6110, Pulling forward into perpenedicular                  
sub_004, 6113, Pulling forward into perpenedicular                  
sub_004, 6114, Parallel parking                  
sub_004, 6115                  
sub_004, 6116, Pulling forward into perpenedicular                  
sub_004, 6117, Pulling forward into perpenedicular                  
sub_004, 6118, Pulling forward into perpenedicular                  
sub_004, 6122, Parallel parking                  
sub_004, 6123, Pulling forward into perpenedicular                  
sub_004, 6124, Pulling forward into perpenedicular                  
sub_004, 6127, Pulling forward into perpenedicular                  
sub_004, 6128, Pulling forward into perpenedicular                  
sub_004, 6129, Parallel parking                  
sub_004, 6130, Pulling forward into perpenedicular                  
sub_004, 6133, Pulling forward into perpenedicular                  
sub_004, 6135, Pulling forward into perpenedicular                  
sub_004, 6136, Pulling forward into perpenedicular                  
sub_004, 6138, Parallel parking                  
sub_004, 6140, Pulling forward into perpenedicular                  
sub_004, 6141, Parallel parking                  
sub_004, 6144, Backing into perpendicular                  
sub_004, 6148, Parallel parking                  
sub_004, 6150, Pulling forward into perpenedicular                  
sub_004, 6152, Pulling forward into perpenedicular                  
sub_004, 6153, Pulling forward into perpenedicular                  
sub_006,  524, Pulling forward into perpenedicular                  
sub_006,  526, Parallel parking, Parallel parking, Parallel parking                  
sub_006,  527, nan, nan, nan                  
sub_006,  528, Pulling forward into perpenedicular, Pulling forward into perpenedicular, Pulling forward into perpenedicular                  
sub_006,  529                  
sub_006,  530, Pulling forward into perpenedicular, Pulling forward into perpenedicular, Pulling forward into perpenedicular, Pulling forward into angled, Pulling forward into angled, Pulling forward into angled, Pulling forward into angled                  
sub_006,  531, Pulling forward into perpenedicular, Pulling forward into perpenedicular, Pulling forward into perpenedicular, Pulling forward into perpenedicular                  
sub_006,  532, Pulling forward into perpenedicular, Pulling forward into perpenedicular, Pulling forward into perpenedicular                  
sub_006,  534, Pulling forward into angled                  
sub_006,  535, Pulling forward into perpenedicular                  
sub_006,  536, Pulling forward into perpenedicular                  
sub_006,  537, Pulling forward into perpenedicular                  
sub_006,  538, Pulling forward into perpenedicular                  
sub_006,  540, Pulling forward into perpenedicular                  
sub_006,  542, Pulling forward into perpenedicular                  
sub_006,  543, Pulling forward into perpenedicular                  
sub_006,  544, Pulling forward into perpenedicular                  
sub_006,  545, Pulling forward into perpenedicular, Pulling forward into perpenedicular, Pulling forward into perpenedicular                  
sub_006,  546, Pulling forward into perpenedicular                  
