
sub_004, 5471, Drive                  
sub_004, 5483, nan                  
sub_004, 5486, nan                  
sub_004, 5491                  
sub_004, 5702, nan                  
sub_004, 5721, nan                  
sub_004, 5733, nan                  
sub_004, 5744, nan                  
sub_004, 5763, Reverse                  
sub_004, 5766, nan                  
sub_004, 5771, nan                  
sub_004, 5773, nan                  
sub_004, 5780, nan                  
sub_004, 5782, Reverse                  
sub_004, 5785, nan                  
sub_004, 5802, nan                  
sub_004, 5805, nan                  
sub_004, 5816, Reverse                  
sub_004, 5818, nan                  
sub_004, 5822, Reverse                  
sub_004, 5828, Reverse                  
sub_004, 5847, Drive                  
sub_004, 5860, Reverse                  
sub_004, 5864, nan                  
sub_004, 5871, Reverse                  
sub_004, 5875, nan                  
sub_004, 5914, Drive                  
sub_004, 5925, Drive                  
sub_004, 5927, Reverse                  
sub_004, 5929, nan                  
sub_004, 5931, Drive                  
sub_004, 5935, Reverse                  
sub_004, 5936, nan                  
sub_004, 5937, Drive                  
sub_004, 5940, Drive                  
sub_004, 5942, nan                  
sub_004, 5953, Drive                  
sub_004, 5957, nan                  
sub_004, 5958, Drive                  
sub_004, 5973, Drive                  
sub_004, 5975, Reverse                  
sub_004, 5977, Drive                  
sub_004, 5984, Reverse                  
sub_004, 5986, Reverse                  
sub_004, 6034, Reverse                  
sub_004, 6036, Drive                  
sub_004, 6037, Drive                  
sub_004, 6038, Drive                  
sub_004, 6041, Reverse                  
sub_004, 6043, Drive                  
sub_004, 6049, Reverse                  
sub_004, 6051, Reverse, Reverse                  
sub_004, 6053, Reverse                  
sub_004, 6055, Reverse                  
sub_004, 6056, Reverse                  
sub_004, 6059, Reverse                  
sub_004, 6060, Drive                  
sub_004, 6062, Reverse                  
sub_004, 6070, nan                  
sub_004, 6071, Reverse                  
sub_004, 6074, Reverse                  
sub_004, 6075                  
sub_004, 6077, Drive                  
sub_004, 6078, Drive                  
sub_004, 6080, Drive                  
sub_004, 6081, Drive                  
sub_004, 6084, Drive                  
sub_004, 6086, Reverse                  
sub_004, 6087, Drive                  
sub_004, 6089                  
sub_004, 6090, Drive                  
sub_004, 6091, Drive                  
sub_004, 6095, Reverse                  
sub_004, 6096, Drive                  
sub_004, 6098, Reverse, Reverse                  
sub_004, 6101, Drive                  
